Streaking,Unnaturalness,NoiseVisual,DGM Dissimilarity to GT,WMGM Dissimilarity to GT,CALC Dissimilarity to GT,VEINS Dissimilarity to GT,mean visual,rmse,rmse_detrend,rmse_detrend_Tissue,rmse_detrend_Blood,rmse_detrend_DGM,DeviationFromLinearSlope,CalcStreak,DeviationFromCalcMoment,DeviationFromLinearSlope (Log),SSIM,XSIM,HFEN,CC,MI,MAD,GXE,SSIM_detrend,XSIM_detrend,HFEN_detrend,MAD_detrend,GXE_detrend,Offset,Submission Identifier,Number of submission in Stage 2,Sim1,Sim2,Full name of the algorithm,Preferred Acronym,Algorithm-type,Does your algorithm incorporate information derived from magnitude images?,Regularization terms,Did your algorithm use the provided frequency map or the four individual echo phase images?,Publication-ready description of the reconstruction technique,Publications that describe the algorithm,Algorithm publicly available?,"If your algorithm is not yet publicly available, would you be willing to make it available at the end of the challenge?",Specific information about this solution,"Herewith, I permit the QSM Challenge committee  to publish my uploaded files (calculated maps) after the completion of the challenge."
2.5,1.6666666,1.3333334,1,0.8333333,1,0.5,1.8333334,69.23384,88.22543,107.5475,149.4033,53.03107,0.2089287,0.1262761,36.02719,0.097729586,0.935345878779855,0.518119300951688,61.2575,0.74995196,0.39875412,68.218201,116.30467,0.927679841112825,0.519438071827157,61.692284,65.232819,98.0121,3.47E-11,0ownSRAIfH,0,0ownSRAIfH_Sim1_Step1.nii,0ownSRAIfH_Sim2_Step1.nii,Annihilating Filter-based Low-Rank Hankel  Mattrix Approach,ALOHA-QSM,low-rank Hankel matrix approach,No,Low-rankness of Hankel structured matrix,Frequency map,"Low-rank Hankel matrix approaches have been proposed to complete the acquired incomplete data matrix by using its low-rankness, which is directly related to the sparsity in the image domain. Based on the recent theory of annihilating filter-based low-rank Hankel matrix approach (ALOHA), QSM is formulated as deconvolution under low-rank Hankel matrix constraint in the k-space. ","Jin, Kyong Hwan, Dongwook Lee, and Jong Chul Ye. ""A general framework for compressed sensing and parallel MRI using annihilating filter based low-rank Hankel matrix."" IEEE Transactions on Computational Imaging 2.4 (2016): 480-495.

Ye, Jong Chul, et al. ""Compressive sampling using annihilating filter-based low-rank interpolation."" IEEE Transactions on Information Theory 63.2 (2016): 777-801.",https://bispl.weebly.com/aloha-for-mr-recon.html,Maybe,,Yes (required)
1.8333334,1.8333334,0.33333334,1,0.8333333,0.8333333,0.6666666,1.3333334,55.32722,63.11305,77.22528,108.3624,37.67848,0.3474769,0.141105,32.62656,0.081921861,0.941541767885655,0.604600808985726,56.041733,0.84493822,0.44834569,55.307495,70.747894,0.946375934162723,0.627536439799861,54.081028,53.71199,71.576752,-1.17E-10,1CGHkJJskw,0,1CGHkJJskw_Sim1_Step1.nii,1CGHkJJskw_Sim2_Step1.nii,N/A,N/A,Spatial-domain iterative reconstruction,No,Total-Variation,Both,"These submissions are based on the two-step dipole inversion algorithm presented in [1]. The algorithm uses an incremental inversion strategy, dividing k-space into well-conditioned and ill-conditioned regions. The well-conditioned region is reconstructed first, using an LSMR solver and exiting early in order to avoid streaking artifacts. The ill-conditioned region is then reconstructed by solving a compressed sensing inspired total variation minimization problem. The minimization was solved using the alternating direction method of multipliers (ADMM). Susceptibility maps were computed for each echo as well as the frequency map. The final result was the mean of these maps.",,,Yes,VANC UBC algorithm from the first reconstruction challenge [2].,Yes (required)
0.33333334,1.5,1,1,1,0.3333333,0.8333333,0.9444444,59.64262,67.60388,86.81206,112.8214,30.9898,0.002987921,0.06435609,23.00024,0.12276076,0.924554333709288,0.506262464555144,57.287338,0.82874596,0.41315097,61.684601,76.082352,0.946505859203605,0.568625725260607,51.316982,56.949547,79.351959,1.74E-10,1CSl5QVJg0,0,1CSl5QVJg0_Sim1_Step1.nii,1CSl5QVJg0_Sim2_Step1.nii,N/A,N/A,Deep Learning,No,None or does not apply,Both,"These submissions are computed using variational networks [1,2]. All networks were trained using an L1 loss function, with ADAMW used for optimization with step size and weight decay parameters of 3e-4 and 1e-5 respectively. 179 high-resolution 3D images were used for training and 40 images for testing [3]. Initial susceptibility maps were computed using an LSMR solver using either 1) 5 iterations early exiting when computed without magnitude 2) 1e-3 stopping tolerance and mean of magnitude as damping parameter when using magnitude. Susceptibility maps were computed for each echo as well as the frequency map. The final result was the mean of these maps.","[1] Kobler E, Klatzer T, Hammernik K, Pock T. Variational networks: connecting variational methods and deep learning. InGerman conference on pattern recognition 2017 Sep 13 (pp. 281-293). Springer, Cham. [2] Hammernik K, Klatzer T, Kobler E, Recht MP, Sodickson DK, Pock T, Knoll F. Learning a variational network for reconstruction of accelerated MRI data. Magnetic resonance in medicine. 2018 Jun;79(6):3055-71. [3] Abstract 035: Proximal variational networks: generalizable deep networks for solving the dipole-inversion problem",,Yes,"Single step variational network from [3]. Two learned regularizers one on the susceptibility map and one on the forward computed field map. Parameters for both regularizers - 8 iterations - 11x11x11x64 convolution kernels, stride 2 - 91 radial basis functions",Yes (required)
1.3333334,1.1666666,0.33333334,1,1,0.5,0.8333333,0.9444444,55.22123,64.74954,77.50535,121.3603,40.67045,0.2236198,0.1288751,28.97736,0.048256226,0.933973488854895,0.611830961143502,57.860298,0.8395161,0.44811481,55.23204,72.454041,0.934871258567755,0.624888358588796,56.694847,53.936401,74.426605,-8.12E-11,1RBmUj4qMy,0,1RBmUj4qMy_Sim1_Step1.nii,1RBmUj4qMy_Sim2_Step1.nii,N/A,N/A,Spatial-domain iterative reconstruction,Yes,Total-Variation,Both,"These submissions are based on the two-step dipole inversion algorithm presented in [1]. The algorithm uses an incremental inversion strategy, dividing k-space into well-conditioned and ill-conditioned regions. The well-conditioned region is reconstructed first, using an LSMR solver and exiting early in order to avoid streaking artifacts. The ill-conditioned region is then reconstructed by solving a compressed sensing inspired total variation minimization problem. The minimization was solved using the alternating direction method of multipliers (ADMM). Susceptibility maps were computed for each echo as well as the frequency map. The final result was the mean of these maps.","[1] Kames C, Wiggermann V, Rauscher A. Rapid two-step dipole inversion for susceptibility mapping with sparsity priors. Neuroimage. 2018 Feb 15;167:276-83. [2] Langkammer C, Schweser F, Shmueli K, Kames C, Li X, Guo L, Milovic C, Kim J, Wei H, Bredies K, Buch S. Quantitative susceptibility mapping: report from the 2016 reconstruction challenge. Magnetic resonance in medicine. 2018 Mar;79(3):1661-73.",,Yes,The magnitude was used in the reconstruction of the well-conditioned region. Instead of exiting early the stopping tolerance of the LSMR solver was set to 1e-3 and the damping parameter was set to the mean of the magnitude. The ill-conditioned region was reconstructed using default parameters from [1].,Yes (required)
1.5,1.5,0.16666667,1,0.8333333,0.8333333,0.8333333,1.0555556,65.78232,85.12269,116.5478,136.601,34.80952,0.1017072,0.1346223,48.62057,0.052404217,0.927365513610029,0.489073923924212,58.939396,0.76044112,0.41219917,69.591461,72.511719,0.921505988754223,0.487991913452663,58.495422,67.792236,71.897552,-1.45E-11,1VYY66WsGQ,0,1VYY66WsGQ_Sim1_Step1.nii.gz,1VYY66WsGQ_Sim2_Step1.nii.gz,enhanced 3D QSM reconstruction network 3,EQSM,Deep Learning,Yes,None or does not apply,Frequency map,"Motivated by the great success of deep learning, in this work we propose an enhanced U-Net for quantitative susceptibility mapping (QSM). Our network consists of multimodal encoder, fusion encoder and decoder.","[1] Szegedy C, Vanhoucke V, Ioffe S, et al. Rethinking the Inception Architecture for Computer Vision, CVPR 2016. [2] Hu J , Shen L , Sun G . Squeeze-and-Excitation Networks. IEEE Transactions on Pattern Analysis and Machine Intelligence, 2017. [3] O. Ronneberger, P. Fischer, and T. Brox, U-net: Convolutional networks for biomedical image segmentation, Proc. MICCAI 2015. [4] Park T , Liu M Y , Wang T C , et al. Semantic Image Synthesis with Spatially-Adaptive Normalization, CVPR 2019. [5] Morteza M , et al. Deep Generative Adversarial Neural Networks for Compressive Sensing (GANCS) MRI. IEEE Transactions on Medical Imaging, 2018. ",,Maybe,network parameters were trained by our GRE dataset ,Yes (required)
1.6666666,1.6666666,0.8333333,1,0.8333333,0.8333333,0.8333333,1.3888888,55.3661,65.95,80.05376,115.0442,39.06015,0.2833178,0.1235818,32.54958,0.025454003,0.950311451844702,0.62071081628768,53.852539,0.83397269,0.43586856,55.370312,79.779663,0.95056360219168,0.624701989220381,53.394875,54.982166,81.514023,-3.49E-10,4bP1oEFTXH,0,4bP1oEFTXH_Sim1_Step1.nii,4bP1oEFTXH_Sim2_Step1.nii,N/A,N/A,Spatial-domain iterative reconstruction,No,Total-Variation,Both,"These submissions are based on the two-step dipole inversion algorithm presented in [1]. The algorithm uses an incremental inversion strategy, dividing k-space into well-conditioned and ill-conditioned regions. The well-conditioned region is reconstructed first, using an LSMR solver and exiting early in order to avoid streaking artifacts. The ill-conditioned region is then reconstructed by solving a compressed sensing inspired total variation minimization problem. The minimization was solved using the alternating direction method of multipliers (ADMM). Susceptibility maps were computed for each echo as well as the frequency map. The final result was the mean of these maps.","[1] Kames C, Wiggermann V, Rauscher A. Rapid two-step dipole inversion for susceptibility mapping with sparsity priors. Neuroimage. 2018 Feb 15;167:276-83. [2] Langkammer C, Schweser F, Shmueli K, Kames C, Li X, Guo L, Milovic C, Kim J, Wei H, Bredies K, ",,Yes,Default parameters from [1].,Yes (required)
1.1666666,0.6666667,0.5,0.16666669,0,1,0.5,0.7777778,41.54692,43.74232,51.3341,86.75916,26.67835,0.01679492,0.04750373,17.17634,0.047074977,0.960141007720225,0.728509355812172,31.381245,0.91262555,0.46783954,41.545296,93.343185,0.958826542489085,0.734942267417854,32.72216,39.816658,84.983871,9.97E-11,4vwNfa7jQa,1,4vwNfa7jQa_Sim1_Step1.nii.gz,4vwNfa7jQa_Sim2_Step1.nii.gz,L1 Phase Inconsistency QSM,L1-QSM,Spatial-domain iterative reconstruction,No,Total-Variation,Frequency map,"Phase inconsistencies in the input data generate streaking artifacts. To reduce the influence of such inconsistencies we propose a L1 data fidelity term that models salt and pepper noise, with a variational penalty (TV) as regularizer. The optimization functional is solved using ADMM.",Streaking artifact suppression with a L1 Phase Inconsistency term - Poster presentation at QSM Workshop 2019.,Not yet.,Maybe,"All images were zero-padded to 256x256x256.
params.input = frequency map x 2Pi x 4ms
params.weight = mask
params.maxOuterIter = 300   
params.tol_update = 0.1
params.alpha1 = 3.16e-2
params.mu1 = 100*alpha1",Yes (required)
1.6666666,1.3333334,1.3333334,0.16666669,0,0.3333333,0.5,1.4444444,57.02347,62.15139,73.84391,114.747,33.21487,0.04189044,0.08037431,27.08226,0.097772472,0.957923637033709,0.617691173378973,47.456993,0.84882361,0.43908176,57.990677,99.743126,0.955736006569697,0.634747657827585,48.269241,52.40844,85.126083,1.73E-10,4X3YH3Vb8q,0,4X3YH3Vb8q_Sim1_Step1.nii,4X3YH3Vb8q_Sim2_Step1.nii,closed form L2,CF-L2,Closed-form direct solution,No,L2,Individual echo phase images,"CF-L2 uses gradient regularized dipole inversion, which can be computed in closed form since it utilizes a L2 penalty. This is intended to serve as a benchmarking technique due to its simplicity and ease of computation.","Fast image reconstruction with L2‐regularization:
https://onlinelibrary.wiley.com/doi/full/10.1002/jmri.24365",http://martinos.org/~berkin/Fast_L2_QSM.zip,Is already publicly available,"Regularization parameter = 2E-3, uses an average of the individual echo phase images as input.",Yes (required)
0.5,0.6666667,0.33333334,0.16666669,0,0.5,0.5,0.5,30.47356,31.95627,36.41904,79.30261,20.52199,0.01499644,0.0460935,16.92701,0.0062293801,0.970511325805051,0.865448511474226,27.935141,0.95244277,0.54778618,27.04361,62.148788,0.970267347252093,0.865482335830571,27.854225,27.026974,62.259499,1.15E-10,5e0YBJKZv1,1,5e0YBJKZv1_Sim1_Step1.nii,5e0YBJKZv1_Sim2_Step1.nii,QSM with L1 and L2 norm and Total Variation regularization ,wL1L2TV,Closed-form iterations,Yes,"L1, L2, Total-Variation",Individual echo phase images,"This method consists of used L1-norm for the first iterations so that calculates the initial solution without streaking artifacts, then used L2-norm.","Bilgic, B., Fan, A. P., Polimeni, J. R., Cauley, S. F., Bianciardi, M., Adalsteins- son, E., . . . Setsompop, K. (2014). Fast quantitative susceptibility mapping with l1- regularizationandautomaticparameterselection. MagneticResonanceinMedicine, 72(5), 1444–1459. doi: 10.1002/mrm.25029
Goldstein,T.,&Osher,S. (2009). Thesplitbregmanmethodforl1-regularizedprob- lems. SIAMJournalonImagingSciences,2(2),323-343. doi:10.1137/080725891
Bilgic, B., Chatnuntawech, I., Langkammer, C., & Setsompop, K. (2015). Sparse methods for quantitative susceptibility mapping. Wavelets and Sparsity XVI, SPIE 2015. doi: 10.1117/12.2188535",,Yes,"input: a weighted sum of phases with TE and magnitude.
weights: a weighted sum of magnitude with TE and magnitude.
regweights: gradients with L1 and L2 norm.
alpha = 6.3096e-06
mu1 = 6.3096e-05
iterations: 20 with L1-norm, 280 with l2-norm",Yes (required)
0.8333333,1,1.8333334,0.3333333,0.8333333,0.3333333,0.8333333,1.2222222,62.35694,74.31844,92.28873,120.5424,39.60149,0.02779216,0.03447919,13.2095,0.084454969,0.943704974478195,0.56315136477977,46.975601,0.80239999,0.40155163,62.105972,129.64273,0.940022879492098,0.569228828115374,49.212395,59.982117,108.67987,9.60E-11,8feq374hs2,0,8feq374hs2_Sim1_Step1.nii.gz,8feq374hs2_Sim2_Step1.nii.gz,Homogeneity Enables Incremental Dipole Inversion,HEIDI,Spatial-domain iterative reconstruction,No,Total-Variation,Frequency map,"Original HEIDI algorithm, but without intermediate domain denoising and without incorporation of the magnitude gradient.","Schweser, F., Sommer, K., Deistung, A., Reichenbach, J.R., 2012. Quantitative susceptibility mapping for investigating subtle susceptibility variations in the human brain. NeuroImage 62, 2083–2100. https://doi.org/10.1016/j.neuroimage.2012.05.067",No.,Maybe,"Identical to 9feq374hs2 but this time used the provided frequency map, which appeared more noisy than our own frequency map computed from the individual phase images.",Yes (required)
