rmse,rmse_detrend,rmse_detrend_Tissue,rmse_detrend_Blood,rmse_detrend_DGM,DeviationFromLinearSlope,CalcStreak,DeviationFromCalcMoment,DeviationFromLinearSlope (Log),SSIM,XSIM,HFEN,CC,MI,MAD,GXE,SSIM_detrend,XSIM_detrend,HFEN_detrend,MAD_detrend,GXE_detrend,Offset,Sim1,Sim2,Submission Identifier of the corresponding Stage 1 submission,Changes with respect to Stage 1 submission,Ground truth was not explicitly or implicitly incorporated into your algorithm or solution.,"Herewith, I permit the QSM Challenge committee  to publish my uploaded files (calculated maps) after the completion of the challenge.",File name of the zip-file you are going to upload
31.34637,32.94402,37.17125,75.80083,19.87881,0.008475244,0.02524425,12.96262,0.008127726,0.974059151,0.782151922,27.280384,0.93423533,0.49657515,36.603745,65.33577,0.973414717,0.781619553,27.532249,36.560242,64.649353,-3.40E-10,4vwNfa7jQa_Sim1Snr2_Step2.nii,4vwNfa7jQa_Sim2Snr2_Step2.nii,4vwNfa7jQa,Optimized alpha1 and mu1 parameters based on RMSE score.,My algorithm does not incorporate explicit knowledge of the ground truth. I used the ground truth to only optimize/adjust general algorithmic parameters.,Yes (required),4vwNfa7jQa.zip
27.8759,29.00304,32.32492,52.65443,19.04282,0.007185612,0.03913183,15.59767,0.004885945,0.976516922,0.892483536,26.097195,0.96026397,0.56554317,23.48987,58.993202,0.976275097,0.892294849,26.110107,23.511185,58.944794,2.25E-15,5e0YBJKZv1_Sim1Snr2_Step2.nii,5e0YBJKZv1_Sim2Snr2_Step2.nii,5e0YBJKZv1,"I selected the new parameters. The first parameters were alpha1 and mu1, for L1 iterations I  used sqrt(alpha1) an sqrt(mu1) and for L2 iterations I used alpha1 and mu1.
Now I use four parameters alpha11 and mu11 for L1 and alpha1 and mu1 for L2.
In Step 1 I used 300 iterations, 20 iterations in L1 and 280 iterations in L2.
Now I used 500 iterations, 190 iterations for L1 and 310 iterations for L1.",My algorithm does not incorporate explicit knowledge of the ground truth. I used the ground truth to only optimize/adjust general algorithmic parameters.,Yes (required),5e0YBJKZv1.zip
39.32233,42.5158,51.15857,70.34534,22.24625,0.04370684,0.0577977,17.95591,0.018756364,0.980036058,0.735937087,37.902081,0.92036152,0.4689157,37.167572,70.044968,0.980959806,0.743136047,36.817024,36.622326,71.181458,-5.42E-15,9DA40BwhyA_Sim1Snr2_Step2.nii,9DA40BwhyA_Sim2Snr2_Step2.nii,9DA40BwhyA,I set new parameters,My algorithm does not incorporate explicit knowledge of the ground truth. I used the ground truth to only optimize/adjust general algorithmic parameters.,Yes (required),9DA40BwhyA.zip
63.24528,78.20889,99.43309,151.1969,41.53586,0.02886155,0.09588534,39.39399,0.037093181,0.94794704,0.620027568,40.910515,0.82928318,0.43076432,58.62682,88.330788,0.955385534,0.626598403,41.343239,56.189682,83.550873,3.28E-10,9uErOsxGtr_Sim1Snr2_Step2.nii,9uErOsxGtr_Sim2Snr2_Step2.nii,9uErOsxGtr,"The network was retraining from scratch with the same data in the identical setting with stage 1, and the map with the best challenge metric was chosen.",My algorithm does not incorporate explicit knowledge of the ground truth. I used the ground truth to only optimize/adjust general algorithmic parameters.,Yes (required),9uErOsxGtr.zip
75.92995,78.10773,94.54655,135.9817,51.95352,0.05916819,0.1413711,35.16203,0.19273138,0.924161707,0.533889488,65.287949,0.7880857,0.42863125,74.721588,132.18628,0.924618033,0.570297918,58.246361,60.905952,91.217331,1.28E-17,9xFaMbtDhf_Sim1Snr2_Step2(1).nii,9xFaMbtDhf_Sim2Snr2_Step2(1).nii,9xFaMbtDhf_1,The final susceptibility map was multiplied by 0.7.,My algorithm does not incorporate explicit knowledge of the ground truth. I used the ground truth to only optimize/adjust general algorithmic parameters.,Yes (required),9xFaMbtDhf_1
66.15759,78.10773,94.54655,135.9817,51.95352,0.1173598,0.1399723,37.91959,0.11355013,0.929528546,0.564492964,58.665352,0.78808063,0.42863101,65.333359,111.36817,0.924618033,0.570297918,58.246361,60.905952,91.217331,-8.22E-18,9xFaMbtDhf_Sim1Snr2_Step2.nii,9xFaMbtDhf_Sim2Snr2_Step2.nii,9xFaMbtDhf,The final susceptibility map was multiplied by 0.84.,My algorithm does not incorporate explicit knowledge of the ground truth. I used the ground truth to only optimize/adjust general algorithmic parameters.,Yes (required),9xFaMbtDhf_2
28.54302,29.72865,35.27699,67.92598,18.03715,0.02046877,0.02356584,11.70428,0.007924136,0.97064793,0.829202809,24.165894,0.95004743,0.49101019,31.611229,58.819668,0.970190515,0.828998984,24.361542,31.573765,58.2458,-6.97E-10,aikOpF4Znc_Sim1Snr2_Step2.nii,aikOpF4Znc_Sim2Snr2_Step2.nii,aikOpF4Znc,Optimized alpha1 and mu1 parameters based on RMSE score.,My algorithm does not incorporate explicit knowledge of the ground truth. I used the ground truth to only optimize/adjust general algorithmic parameters.,Yes (required),aikOpF4Znc.zip
69.95972,98.99802,114.0071,410.3343,68.16233,0.4598305,0.1533379,47.4514,0.020051796,0.9042224,0.419272124,67.275253,0.71294951,0.39964041,65.182632,115.67216,0.899299903,0.415326532,67.56398,65.259323,113.50099,-1.59E-10,bR2Oi0ZCZi_Sim1Snr2_Step2.nii,bR2Oi0ZCZi_Sim2Snr2_Step2.nii,bR2Oi0ZCZi,Same parameters as Step1,My algorithm does not incorporate explicit knowledge of the ground truth. I used the ground truth to only optimize/adjust general algorithmic parameters.,Yes (required),bR2Oi0ZCZi.zip
63.1519,80.40205,105.1785,155.0338,38.69939,0.03677487,0.1344589,41.83971,0.043813396,0.95251446,0.614669648,45.567627,0.82867253,0.41977817,58.193138,70.723068,0.964520512,0.627620348,44.550426,56.947479,72.730812,6.76E-11,BZA1ZHG0K7_Sim1Snr2_Step2.nii,BZA1ZHG0K7_Sim2Snr2_Step2.nii,BZA1ZHG0K7,"The network was retraining from scratch with the same data in the identical setting with stage 1, and the map with the best challenge metric was chosen.",My algorithm does not incorporate explicit knowledge of the ground truth. I used the ground truth to only optimize/adjust general algorithmic parameters.,Yes (required),BZA1ZHG0K7.zip
105.5694,91.715,106.3052,153.5927,45.25253,0.0339582,0.2212394,26.03804,0.16380778,0.959003692,0.419560738,59.945026,0.71742439,0.35120404,87.089783,124.64857,0.948953646,0.444250186,57.727966,75.500244,93.32505,4.26E-10,cbi99GQHhl_Sim1Snr2_Step2.nii,cbi99GQHhl_Sim2Snr2_Step2.nii,cbi99GQHhl,None,My algorithm does not incorporate explicit knowledge of the ground truth. I used the ground truth to only optimize/adjust general algorithmic parameters.,Yes (required),cbi99GQHhl.zip
