name,rmse1,rmse_detrend1,rmse_detrend_Tissue1,rmse_detrend_Blood1,rmse_detrend_DGM1,rmse2,rmse_detrend2,rmse_detrend_Tissue2,rmse_detrend_Blood2,rmse_detrend_DGM2,algo_type
'0ownSRAIfH_Sim1_Step1.nii',74.283623,94.443771,125.89652,140.86548,50.677689,64.184067,82.007095,89.198563,157.94119,55.384445,low-rank
'1CGHkJJskw_Sim1_Step1.nii',55.498211,63.936646,87.052834,98.597862,33.973675,55.156231,62.289455,67.397736,118.12695,41.383286,Spatial-domain iterative reconstruction
'1CSl5QVJg0_Sim1_Step1.nii',60.974308,71.966255,105.90012,108.10943,28.67544,58.310944,63.241508,67.723999,117.53329,33.304169,Deep Learning
'1RBmUj4qMy_Sim1_Step1.nii',55.444904,66.329353,88.05043,111.98693,36.91906,54.997555,63.169735,66.960266,130.73366,44.421833,Spatial-domain iterative reconstruction
'1VYY66WsGQ_Sim1_Step1.nii.gz',66.594231,85.10257,137.67807,106.97203,31.325184,64.970406,85.142807,95.417526,166.22993,38.293861,Deep Learning
'4bP1oEFTXH_Sim1_Step1.nii',56.368675,68.228371,91.318222,106.5621,35.396606,54.363529,63.671642,68.789307,123.52637,42.723698,Spatial-domain iterative reconstruction
'4vwNfa7jQa_Sim1_Step1.nii.gz',46.595421,48.743904,62.917488,88.296303,25.60556,36.498421,38.740749,39.75071,85.222,27.751143,Spatial-domain iterative reconstruction
'4X3YH3Vb8q_Sim1_Step1.nii',60.450653,65.480812,85.857971,106.46909,28.656946,53.596279,58.821964,61.829849,123.02495,37.772789,Closed-form direct solution
'5e0YBJKZv1_Sim1_Step1.nii',30.792101,32.349869,41.692295,70.786575,18.37561,30.155012,31.562679,31.145777,87.818649,22.668367,Spatial-domain iterative reconstruction
'8feq374hs2_Sim1_Step1.nii.gz',69.364677,83.117493,114.9404,124.69949,37.458088,55.349205,65.519371,69.637062,116.38525,41.744881,Spatial-domain iterative reconstruction
'9DA40BwhyA_Sim1_Step1.nii',44.716228,49.86216,63.8517,90.882301,21.450901,43.879463,48.821987,49.705074,114.66494,28.80591,Spatial-domain iterative reconstruction
'9feq374hD1_Sim1_Step1.nii.gz',57.565075,68.326767,93.479057,108.10968,30.019964,50.543079,58.572941,61.498592,112.96059,34.355145,Spatial-domain iterative reconstruction
